Membership No  Date Joined  Active  
    56089      2016-11-7    yes   
    73934      2016-2-14    yes   
    69073      2019-12-6    no    
    25285      2016-8-6     yes   
    59338      2017-12-10   yes   
    86391      2016-3-8     no    
    26497      2016-5-23    yes   
    40720      2018-5-9     yes   
    76946      2017-4-13    yes   
    36782      2016-8-20    yes   
    54724      2015-8-10    yes   
    83191      2020-12-23   yes   
    51458      2018-10-12   yes   
    79300      2020-10-17   no    
    42506      2017-8-13    no    
    10146      2018-1-5     no    
    34254      2016-6-21    no    
    36720      2017-1-1     no    
    89463      2016-2-8     no    
    91515      2016-3-21    yes   
