Membership No  Date Joined  Active  
    57616      2015-4-3     yes   
    93500      2020-5-19    yes   
    52093      2019-4-17    yes   
    40399      2016-12-19   no    
    20030      2015-2-16    no    
    81205      2015-12-18   yes   
    24931      2020-12-22   yes   
    80738      2018-10-20   yes   
    20279      2017-2-25    yes   
    64651      2016-6-22    no    
    66870      2016-9-19    no    
    72153      2018-6-9     no    
    11326      2020-4-10    yes   
    84092      2018-3-3     yes   
    49549      2018-3-25    no    
    40109      2018-5-7     no    
    80329      2018-1-24    yes   
    40262      2015-12-5    no    
    18920      2016-10-15   yes   
    29528      2018-12-16   yes   
